line,case,bias
63,1,100
73,1,100
75,1,100
75,1,100
75,1,0
91,1,100
93,1,100
93,1,100
93,1,100
118,1,100
118,1,100
118,1,100
120,1,0
124,1,100
124,1,0
124,1,100
126,1,0
127,1,100
127,1,0
128,1,0
133,1,0
135,1,0
148,1,0
63,2,100
73,2,100
75,2,100
75,2,100
75,2,0
91,2,100
93,2,100
93,2,100
93,2,100
118,2,100
118,2,100
118,2,100
120,2,100
120,2,0
124,2,100
124,2,0
124,2,100
126,2,0
127,2,100
127,2,0
128,2,0
133,2,0
135,2,0
148,2,0
63,3,100
73,3,100
75,3,100
75,3,100
75,3,0
91,3,100
93,3,100
93,3,100
93,3,100
118,3,100
118,3,100
118,3,100
120,3,100
120,3,0
124,3,100
124,3,0
124,3,100
126,3,0
127,3,100
127,3,0
128,3,0
133,3,0
135,3,0
148,3,0
63,4,0
73,4,100
75,4,0
91,4,100
93,4,0
118,4,100
118,4,100
118,4,100
120,4,0
124,4,100
124,4,0
124,4,100
126,4,100
126,4,0
127,4,0
128,4,0
133,4,0
135,4,0
148,4,0
63,5,100
73,5,100
75,5,100
75,5,100
75,5,0
91,5,100
93,5,100
93,5,100
93,5,100
118,5,100
118,5,100
118,5,100
120,5,0
124,5,100
124,5,0
124,5,100
126,5,0
127,5,100
127,5,0
128,5,0
133,5,0
135,5,0
148,5,0
